id,owner_id,owner_kind,article_code,penalty_type,min_imprisonment_months,max_imprisonment_months,fine_min_vnd,fine_max_vnd,has_life_imprisonment,has_death_penalty,text
penalty_article_244_clause_1_1,article_244_clause_1,Clause,244,imprisonment,12,60,,,false,false,phạt tù từ 01 năm đến 05 năm
penalty_article_244_clause_1_2,article_244_clause_1,Clause,244,fine,,,1000000000,4000000000,false,false,phạt tiền từ 1.000.000.000 đồng đến 4.000.000.000 đồng
penalty_article_244_clause_2_1,article_244_clause_2,Clause,244,imprisonment,60,120,,,false,false,phạt tù từ 05 năm đến 10 năm
penalty_article_244_clause_3_1,article_244_clause_3,Clause,244,imprisonment,120,180,,,false,false,phạt tù từ 10 năm đến 15 năm
penalty_article_244_clause_4_1,article_244_clause_4,Clause,244,fine,,,100000000,400000000,false,false,phạt tiền từ 100.000.000 đồng đến 400.000.000 đồng
penalty_article_244_clause_5_1,article_244_clause_5,Clause,244,fine,,,2000000000,10000000000,false,false,phạt tiền từ 2.000.000.000 đồng đến 10.000.000.000 đồng
penalty_article_244_clause_5_2,article_244_clause_5,Clause,244,fine,,,10000000000,20000000000,false,false,phạt tiền từ 10.000.000.000 đồng đến 20.000.000.000 đồng
penalty_article_244_clause_5_3,article_244_clause_5,Clause,244,fine,,,20000000000,30000000000,false,false,phạt tiền từ 20.000.000.000 đồng đến 30.000.000.000 đồng
penalty_article_244_clause_5_4,article_244_clause_5,Clause,244,fine,,,600000000,1200000000,false,false,phạt tiền từ 600.000.000 đồng đến 1.200.000.000 đồng
penalty_article_244_clause_5_point_a_1,article_244_clause_5_point_a,Point,244,fine,,,2000000000,10000000000,false,false,phạt tiền từ 2.000.000.000 đồng đến 10.000.000.000 đồng
penalty_article_244_clause_5_point_b_1,article_244_clause_5_point_b,Point,244,fine,,,10000000000,20000000000,false,false,phạt tiền từ 10.000.000.000 đồng đến 20.000.000.000 đồng
penalty_article_244_clause_5_point_c_1,article_244_clause_5_point_c,Point,244,fine,,,20000000000,30000000000,false,false,phạt tiền từ 20.000.000.000 đồng đến 30.000.000.000 đồng
penalty_article_244_clause_5_point_d_1,article_244_clause_5_point_d,Point,244,fine,,,600000000,1200000000,false,false,phạt tiền từ 600.000.000 đồng đến 1.200.000.000 đồng
penalty_article_245_clause_1_1,article_245_clause_1,Clause,245,imprisonment,6,36,,,false,false,phạt tù từ 06 tháng đến 03 năm
penalty_article_245_clause_1_2,article_245_clause_1,Clause,245,fine,,,100000000,600000000,false,false,phạt tiền từ 100.000.000 đồng đến 600.000.000 đồng
penalty_article_245_clause_2_1,article_245_clause_2,Clause,245,imprisonment,36,84,,,false,false,phạt tù từ 03 năm đến 07 năm
penalty_article_245_clause_3_1,article_245_clause_3,Clause,245,fine,,,20000000,200000000,false,false,phạt tiền từ 20.000.000 đồng đến 200.000.000 đồng
penalty_article_245_clause_4_1,article_245_clause_4,Clause,245,fine,,,600000000,2000000000,false,false,phạt tiền từ 600.000.000 đồng đến 2.000.000.000 đồng
penalty_article_245_clause_4_2,article_245_clause_4,Clause,245,fine,,,2000000000,6000000000,false,false,phạt tiền từ 2.000.000.000 đồng đến 6.000.000.000 đồng
penalty_article_245_clause_4_3,article_245_clause_4,Clause,245,fine,,,100000000,1000000000,false,false,phạt tiền từ 100.000.000 đồng đến 1.000.000.000 đồng
penalty_article_245_clause_4_point_a_1,article_245_clause_4_point_a,Point,245,fine,,,600000000,2000000000,false,false,phạt tiền từ 600.000.000 đồng đến 2.000.000.000 đồng
penalty_article_245_clause_4_point_b_1,article_245_clause_4_point_b,Point,245,fine,,,2000000000,6000000000,false,false,phạt tiền từ 2.000.000.000 đồng đến 6.000.000.000 đồng
penalty_article_245_clause_4_point_d_1,article_245_clause_4_point_d,Point,245,fine,,,100000000,1000000000,false,false,phạt tiền từ 100.000.000 đồng đến 1.000.000.000 đồng
penalty_article_246_clause_1_1,article_246_clause_1,Clause,246,imprisonment,12,60,,,false,false,phạt tù từ 01 năm đến 05 năm
penalty_article_246_clause_1_2,article_246_clause_1,Clause,246,fine,,,200000000,2000000000,false,false,phạt tiền từ 200.000.000 đồng đến 2.000.000.000 đồng
penalty_article_246_clause_2_1,article_246_clause_2,Clause,246,imprisonment,36,84,,,false,false,phạt tù từ 03 năm đến 07 năm
penalty_article_246_clause_3_1,article_246_clause_3,Clause,246,fine,,,100000000,1000000000,false,false,phạt tiền từ 100.000.000 đồng đến 1.000.000.000 đồng
penalty_article_246_clause_4_1,article_246_clause_4,Clause,246,fine,,,2000000000,6000000000,false,false,phạt tiền từ 2.000.000.000 đồng đến 6.000.000.000 đồng
penalty_article_246_clause_4_2,article_246_clause_4,Clause,246,fine,,,6000000000,10000000000,false,false,phạt tiền từ 6.000.000.000 đồng đến 10.000.000.000 đồng
penalty_article_246_clause_4_3,article_246_clause_4,Clause,246,fine,,,200000000,2000000000,false,false,phạt tiền từ 200.000.000 đồng đến 2.000.000.000 đồng
penalty_article_246_clause_4_point_a_1,article_246_clause_4_point_a,Point,246,fine,,,2000000000,6000000000,false,false,phạt tiền từ 2.000.000.000 đồng đến 6.000.000.000 đồng
penalty_article_246_clause_4_point_b_1,article_246_clause_4_point_b,Point,246,fine,,,6000000000,10000000000,false,false,phạt tiền từ 6.000.000.000 đồng đến 10.000.000.000 đồng
penalty_article_246_clause_4_point_c_1,article_246_clause_4_point_c,Point,246,fine,,,200000000,2000000000,false,false,phạt tiền từ 200.000.000 đồng đến 2.000.000.000 đồng
penalty_article_247_clause_1_1,article_247_clause_1,Clause,247,imprisonment,6,36,,,false,false,phạt tù từ 06 tháng đến 03 năm
penalty_article_247_clause_2_1,article_247_clause_2,Clause,247,imprisonment,36,84,,,false,false,phạt tù từ 03 năm đến 07 năm
penalty_article_247_clause_3_1,article_247_clause_3,Clause,247,fine,,,5000000,50000000,false,false,phạt tiền từ 5.000.000 đồng đến 50.000.000 đồng
penalty_article_248_clause_1_1,article_248_clause_1,Clause,248,imprisonment,36,84,,,false,false,phạt tù từ 03 năm đến 07 năm
penalty_article_248_clause_2_1,article_248_clause_2,Clause,248,imprisonment,84,180,,,false,false,phạt tù từ 07 năm đến 15 năm
