id,penalty_frame_id,role,penalty_type,text,min_imprisonment_months,max_imprisonment_months,fine_min_vnd,fine_max_vnd,has_life_imprisonment,has_death_penalty
penalty_penalty_article_150_clause_1_1_main,penalty_article_150_clause_1_1,main,imprisonment,phạt tù từ 05 năm đến 10 năm,60,120,,,false,false
penalty_penalty_article_150_clause_2_1_main,penalty_article_150_clause_2_1,main,imprisonment,phạt tù từ 08 năm đến 15 năm,96,180,,,false,false
penalty_penalty_article_150_clause_3_1_main,penalty_article_150_clause_3_1,main,imprisonment,phạt tù từ 12 năm đến 20 năm,144,240,,,false,false
penalty_penalty_article_150_clause_4_1_main,penalty_article_150_clause_4_1,main,fine,phạt tiền từ 20.000.000 đồng đến 100.000.000 đồng,,,20000000,100000000,false,false
penalty_penalty_article_151_clause_1_1_main,penalty_article_151_clause_1_1,main,imprisonment,phạt tù từ 07 năm đến 12 năm,84,144,,,false,false
penalty_penalty_article_151_clause_2_1_main,penalty_article_151_clause_2_1,main,imprisonment,phạt tù từ 12 năm đến 20 năm,144,240,,,false,false
penalty_penalty_article_151_clause_3_1_main,penalty_article_151_clause_3_1,main,imprisonment,phạt tù từ 18 năm đến 20 năm,216,240,,,true,false
penalty_penalty_article_151_clause_4_1_main,penalty_article_151_clause_4_1,main,fine,phạt tiền từ 50.000.000 đồng đến 200.000.000 đồng,,,50000000,200000000,false,false
penalty_penalty_article_152_clause_1_1_main,penalty_article_152_clause_1_1,main,imprisonment,phạt tù từ 02 năm đến 05 năm,24,60,,,false,false
penalty_penalty_article_152_clause_2_1_main,penalty_article_152_clause_2_1,main,imprisonment,phạt tù từ 03 năm đến 07 năm,36,84,,,false,false
penalty_penalty_article_152_clause_3_1_main,penalty_article_152_clause_3_1,main,imprisonment,phạt tù từ 07 năm đến 12 năm,84,144,,,false,false
penalty_penalty_article_152_clause_4_1_main,penalty_article_152_clause_4_1,main,fine,phạt tiền từ 10.000.000 đồng đến 50.000.000 đồng,,,10000000,50000000,false,false
penalty_penalty_article_153_clause_1_1_main,penalty_article_153_clause_1_1,main,imprisonment,phạt tù từ 03 năm đến 07 năm,36,84,,,false,false
penalty_penalty_article_153_clause_2_1_main,penalty_article_153_clause_2_1,main,imprisonment,phạt tù từ 05 năm đến 10 năm,60,120,,,false,false
penalty_penalty_article_153_clause_3_1_main,penalty_article_153_clause_3_1,main,imprisonment,phạt tù từ 10 năm đến 15 năm,120,180,,,false,false
penalty_penalty_article_153_clause_4_1_main,penalty_article_153_clause_4_1,main,fine,phạt tiền từ 10.000.000 đồng đến 50.000.000 đồng,,,10000000,50000000,false,false
penalty_penalty_article_154_clause_1_1_main,penalty_article_154_clause_1_1,main,imprisonment,phạt tù từ 03 năm đến 07 năm,36,84,,,false,false
penalty_penalty_article_154_clause_2_1_main,penalty_article_154_clause_2_1,main,imprisonment,phạt tù từ 07 năm đến 15 năm,84,180,,,false,false
penalty_penalty_article_154_clause_3_1_main,penalty_article_154_clause_3_1,main,imprisonment,phạt tù từ 12 năm đến 20 năm,144,240,,,true,false
penalty_penalty_article_154_clause_4_1_main,penalty_article_154_clause_4_1,main,fine,phạt tiền từ 10.000.000 đồng đến 100.000.000 đồng,,,10000000,100000000,false,false
penalty_penalty_article_155_clause_1_1_main,penalty_article_155_clause_1_1,main,fine,phạt tiền từ 10.000.000 đồng đến 30.000.000 đồng,,,10000000,30000000,false,false
penalty_penalty_article_155_clause_2_1_main,penalty_article_155_clause_2_1,main,imprisonment,phạt tù từ 03 tháng đến 02 năm,3,24,,,false,false
penalty_penalty_article_155_clause_3_1_main,penalty_article_155_clause_3_1,main,imprisonment,phạt tù từ 02 năm đến 05 năm,24,60,,,false,false
penalty_penalty_article_156_clause_1_1_main,penalty_article_156_clause_1_1,main,imprisonment,phạt tù từ 03 tháng đến 01 năm,3,12,,,false,false
penalty_penalty_article_156_clause_1_2_main,penalty_article_156_clause_1_2,main,fine,phạt tiền từ 10.000.000 đồng đến 50.000.000 đồng,,,10000000,50000000,false,false
