id,crime_id,article_id,article_code,requirement_type,text,normalized_text
consreq_crime_168_consequence_gay_thuong_tich_hoac_gay_ton_hai_cho_suc_khoe_cua_01_nguoi_ma_ty_le_ton_thuong_co_the_61_tro_len_h,crime_168,article_168,168,consequence,Gây thương tích hoặc gây tổn hại cho sức khỏe của 01 người mà tỷ lệ tổn thương cơ thể 61% trở lên hoặc gây thương tích hoặc gây tổn hại cho sức khỏe của 02 người trở lên mà tỷ lệ tổn thương cơ thể của mỗi người 31% trở lên,gay thuong tich hoac gay ton hai cho suc khoe cua 01 nguoi ma ty le ton thuong co the 61 tro len hoac gay thuong tich hoac gay ton hai cho suc khoe cua 02 nguoi tro len ma ty le ton thuong co the cua moi nguoi 31 tro len
consreq_crime_168_consequence_ton_hai_cho_suc_khoe_cua_nguoi_khac_ma_ty_le_ton_thuong_co_the_tu_11_den_30,crime_168,article_168,168,consequence,tổn hại cho sức khỏe của người khác mà tỷ lệ tổn thương cơ thể từ 11% đến 30%,ton hai cho suc khoe cua nguoi khac ma ty le ton thuong co the tu 11 den 30
consreq_crime_169_consequence_lam_chet_nguoi,crime_169,article_169,169,consequence,Làm chết người,lam chet nguoi
consreq_crime_169_consequence_gay_thuong_tich_gay_ton_hai_cho_suc_khoe_hoac_gay_roi_loan_tam_than_va_hanh_vi_cua_nan_nhan_ma_ty_,crime_169,article_169,169,consequence,"Gây thương tích, gây tổn hại cho sức khỏe hoặc gây rối loạn tâm thần và hành vi của nạn nhân mà tỷ lệ tổn thương cơ thể từ 11% đến 30%",gay thuong tich gay ton hai cho suc khoe hoac gay roi loan tam than va hanh vi cua nan nhan ma ty le ton thuong co the tu 11 den 30
consreq_crime_169_consequence_gay_thuong_tich_gay_ton_hai_cho_suc_khoe_hoac_gay_roi_loan_tam_than_va_hanh_vi_cua_nan_nhan_ma_ty_,crime_169,article_169,169,consequence,"Gây thương tích, gây tổn hại cho sức khỏe hoặc gây rối loạn tâm thần và hành vi của nạn nhân mà tỷ lệ tổn thương cơ thể từ 31% đến 60%",gay thuong tich gay ton hai cho suc khoe hoac gay roi loan tam than va hanh vi cua nan nhan ma ty le ton thuong co the tu 31 den 60
consreq_crime_169_consequence_gay_thuong_tich_gay_ton_hai_cho_suc_khoe_hoac_gay_roi_loan_tam_than_va_hanh_vi_cua_nan_nhan_ma_ty_,crime_169,article_169,169,consequence,"Gây thương tích, gây tổn hại cho sức khỏe hoặc gây rối loạn tâm thần và hành vi của nạn nhân mà tỷ lệ tổn thương cơ thể 61% trở lên",gay thuong tich gay ton hai cho suc khoe hoac gay roi loan tam than va hanh vi cua nan nhan ma ty le ton thuong co the 61 tro len
consreq_crime_169_consequence_ton_hai_cho_suc_khoe_hoac_gay_roi_loan_tam_than_va_hanh_vi_cua_nan_nhan_ma_ty_le_ton_thuong_co_the,crime_169,article_169,169,consequence,tổn hại cho sức khỏe hoặc gây rối loạn tâm thần và hành vi của nạn nhân mà tỷ lệ tổn thương cơ thể từ 11% đến 30%,ton hai cho suc khoe hoac gay roi loan tam than va hanh vi cua nan nhan ma ty le ton thuong co the tu 11 den 30
consreq_crime_171_consequence_lam_chet_nguoi,crime_171,article_171,171,consequence,Làm chết người,lam chet nguoi
consreq_crime_171_consequence_gay_thuong_tich_hoac_gay_ton_hai_cho_suc_khoe_cua_nguoi_khac_ma_ty_le_ton_thuong_co_the_tu_11_den_,crime_171,article_171,171,consequence,Gây thương tích hoặc gây tổn hại cho sức khỏe của người khác mà tỷ lệ tổn thương cơ thể từ 11% đến 30%,gay thuong tich hoac gay ton hai cho suc khoe cua nguoi khac ma ty le ton thuong co the tu 11 den 30
consreq_crime_171_consequence_gay_thuong_tich_hoac_gay_ton_hai_cho_suc_khoe_cua_nguoi_khac_ma_ty_le_ton_thuong_co_the_tu_31_den_,crime_171,article_171,171,consequence,Gây thương tích hoặc gây tổn hại cho sức khỏe của người khác mà tỷ lệ tổn thương cơ thể từ 31% đến 60%,gay thuong tich hoac gay ton hai cho suc khoe cua nguoi khac ma ty le ton thuong co the tu 31 den 60
