id,crime_id,article_id,article_code,owner_id,owner_kind,text,min_value,max_value,unit,normalized_text
threshold_article_231_clause_2_000_000_dong_den_1_000,crime_231,article_231,231,article_231_clause_2,Clause,000.000 đồng đến 1.000,000.000,1.000,vnd,000 000 dong den 1 000
threshold_article_231_clause_2_000_000_dong,crime_231,article_231,231,article_231_clause_2,Clause,000.000 đồng,000.000,,vnd,000 000 dong
threshold_article_231_clause_2_000_000_dong_tro_len,crime_231,article_231,231,article_231_clause_2,Clause,000.000 đồng trở lên,000.000,,vnd,000 000 dong tro len
threshold_article_231_clause_2_point_c_000_000_dong_tro_len,crime_231,article_231,231,article_231_clause_2_point_c,Point,000.000 đồng trở lên,000.000,,vnd,000 000 dong tro len
threshold_condition_article_232_clause_4_000_000_dong_den_50_000,crime_232,article_232,232,condition_article_232_clause_4,Condition,000.000 đồng đến 50.000,000.000,50.000,vnd,000 000 dong den 50 000
threshold_condition_article_232_clause_4_000_dong,crime_232,article_232,232,condition_article_232_clause_4,Condition,000 đồng,000,,vnd,000 dong
threshold_condition_article_232_clause_1_point_a_tu_20_met_khoi,crime_232,article_232,232,condition_article_232_clause_1_point_a,Condition,từ 20 mét khối,20,,m3,tu 20 met khoi
threshold_condition_article_232_clause_1_point_a_40_met_khoi,crime_232,article_232,232,condition_article_232_clause_1_point_a,Condition,40 mét khối,40,,m3,40 met khoi
threshold_condition_article_232_clause_1_point_a_tu_15_met_khoi,crime_232,article_232,232,condition_article_232_clause_1_point_a,Condition,từ 15 mét khối,15,,m3,tu 15 met khoi
threshold_condition_article_232_clause_1_point_a_30_met_khoi,crime_232,article_232,232,condition_article_232_clause_1_point_a,Condition,30 mét khối,30,,m3,30 met khoi
threshold_condition_article_232_clause_1_point_b_tu_10_met_khoi,crime_232,article_232,232,condition_article_232_clause_1_point_b,Condition,từ 10 mét khối,10,,m3,tu 10 met khoi
threshold_condition_article_232_clause_1_point_b_20_met_khoi,crime_232,article_232,232,condition_article_232_clause_1_point_b,Condition,20 mét khối,20,,m3,20 met khoi
threshold_condition_article_232_clause_1_point_b_tu_07_met_khoi,crime_232,article_232,232,condition_article_232_clause_1_point_b,Condition,từ 07 mét khối,07,,m3,tu 07 met khoi
threshold_condition_article_232_clause_1_point_b_15_met_khoi,crime_232,article_232,232,condition_article_232_clause_1_point_b,Condition,15 mét khối,15,,m3,15 met khoi
threshold_condition_article_232_clause_1_point_c_tu_15_met_khoi,crime_232,article_232,232,condition_article_232_clause_1_point_c,Condition,từ 15 mét khối,15,,m3,tu 15 met khoi
threshold_condition_article_232_clause_1_point_c_30_met_khoi,crime_232,article_232,232,condition_article_232_clause_1_point_c,Condition,30 mét khối,30,,m3,30 met khoi
threshold_condition_article_232_clause_1_point_c_tu_10_met_khoi,crime_232,article_232,232,condition_article_232_clause_1_point_c,Condition,từ 10 mét khối,10,,m3,tu 10 met khoi
